cycle number	ox/red	control changes	Ns changes	time/s	step time/s	Ecell/V	<I>/mA	Capacity/mA.h	Q discharge/mA.h	Q charge/mA.h	dq/mA.h	
0.000000000000000E+000	0	0	0	7.176000340841711E+001	7.176000340841711E+001	1.6746253E+000	-2.882922841635018E-001	4.944986375967661E-003	4.944986375967661E-003	0.000000000000000E+000	-2.355988723039627E-004
0.000000000000000E+000	0	0	0	7.495600356021896E+001	7.495600356021896E+001	1.6646171E+000	-2.883032077831714E-001	5.200935569256543E-003	5.200935569256543E-003	0.000000000000000E+000	-2.559491932888826E-004
0.000000000000000E+000	0	0	0	7.844600372598507E+001	7.844600372598507E+001	1.6546088E+000	-2.882954447901922E-001	5.480421999841927E-003	5.480421999841927E-003	0.000000000000000E+000	-2.794864305853844E-004
0.000000000000000E+000	0	0	0	8.230600390932523E+001	8.230600390932523E+001	1.6446006E+000	-2.883203182835764E-001	5.789565466907288E-003	5.789565466907288E-003	0.000000000000000E+000	-3.091434670653608E-004
0.000000000000000E+000	0	0	0	8.660000411327928E+001	8.660000411327928E+001	1.6345923E+000	-2.882906092802952E-001	6.133432115531629E-003	6.133432115531629E-003	0.000000000000000E+000	-3.438666486243407E-004
0.000000000000000E+000	0	0	0	9.142400434240699E+001	9.142400434240699E+001	1.6245841E+000	-2.882915894236322E-001	6.519742863708071E-003	6.519742863708071E-003	0.000000000000000E+000	-3.863107481764422E-004
0.000000000000000E+000	0	0	0	9.686200460069813E+001	9.686200460069813E+001	1.6145759E+000	-2.883089531849063E-001	6.955249575343396E-003	6.955249575343396E-003	0.000000000000000E+000	-4.355067116353247E-004
0.000000000000000E+000	0	0	0	1.030780048959423E+002	1.030780048959423E+002	1.6045676E+000	-2.882969120616358E-001	7.453042267147037E-003	7.453042267147037E-003	0.000000000000000E+000	-4.977926918036408E-004
0.000000000000000E+000	0	0	0	1.101880052336492E+002	1.101880052336492E+002	1.5945593E+000	-2.882942792449461E-001	8.022423495699961E-003	8.022423495699961E-003	0.000000000000000E+000	-5.693812285529243E-004
0.000000000000000E+000	0	0	0	1.185140056291129E+002	1.185140056291129E+002	1.5845118E+000	-2.882947127136081E-001	8.689185132384300E-003	8.689185132384300E-003	0.000000000000000E+000	-6.667616366843383E-004
0.000000000000000E+000	0	0	0	1.282920060935430E+002	1.282920060935430E+002	1.5745034E+000	-2.883140027834069E-001	9.472278036028146E-003	9.472278036028146E-003	0.000000000000000E+000	-7.830929036438465E-004
0.000000000000000E+000	0	0	0	1.400820066535380E+002	1.400820066535380E+002	1.5644952E+000	-2.883004218080698E-001	1.041646196229590E-002	1.041646196229590E-002	0.000000000000000E+000	-9.441839262677563E-004
0.000000000000000E+000	0	0	0	1.548720073560253E+002	1.548720073560253E+002	1.5544475E+000	-2.882874233659313E-001	1.160084284954601E-002	1.160084284954601E-002	0.000000000000000E+000	-1.184380887250105E-003
0.000000000000000E+000	0	0	0	1.757160083460622E+002	1.757160083460622E+002	1.5444393E+000	-2.883071661990608E-001	1.327014142112599E-002	1.327014142112599E-002	0.000000000000000E+000	-1.669298571579986E-003
0.000000000000000E+000	0	0	0	2.957160140457563E+002	2.957160140457563E+002	1.5346282E+000	-2.883068349757090E-001	2.288036971011095E-002	2.288036971011095E-002	0.000000000000000E+000	-9.610228288984961E-003
0.000000000000000E+000	0	0	0	4.157160197454505E+002	4.157160197454505E+002	1.5332490E+000	-2.883211207028691E-001	3.249107419002387E-002	3.249107419002387E-002	0.000000000000000E+000	-9.610704479912916E-003
0.000000000000000E+000	0	0	0	5.357160254451446E+002	5.357160254451446E+002	1.5319881E+000	-2.883404659730409E-001	4.210242351230648E-002	4.210242351230648E-002	0.000000000000000E+000	-9.611349322282605E-003
0.000000000000000E+000	0	0	0	6.557160311448388E+002	6.557160311448388E+002	1.5306485E+000	-2.883455221921004E-001	5.171394137523240E-002	5.171394137523240E-002	0.000000000000000E+000	-9.611517862925927E-003
0.000000000000000E+000	0	0	0	7.757160368445329E+002	7.757160368445329E+002	1.5295057E+000	-2.883795079031137E-001	6.132659209524591E-002	6.132659209524591E-002	0.000000000000000E+000	-9.612650720013513E-003
0.000000000000000E+000	0	0	0	8.957160425442271E+002	8.957160425442271E+002	1.5283237E+000	-2.883807259950008E-001	7.093928341832426E-002	7.093928341832426E-002	0.000000000000000E+000	-9.612691323078341E-003
0.000000000000000E+000	0	0	0	1.015716048243921E+003	1.015716048243921E+003	1.5272598E+000	-2.883811396387982E-001	8.055198852952983E-002	8.055198852952983E-002	0.000000000000000E+000	-9.612705111205579E-003
0.000000000000000E+000	0	0	0	1.135716053943615E+003	1.135716053943615E+003	1.5262353E+000	-2.883518032170131E-001	9.016371575996279E-002	9.016371575996279E-002	0.000000000000000E+000	-9.611727230432961E-003
0.000000000000000E+000	0	0	0	1.255716059643310E+003	1.255716059643310E+003	1.5251715E+000	-2.883410996448906E-001	9.977508620464139E-002	9.977508620464139E-002	0.000000000000000E+000	-9.611370444678599E-003
